2,M,2006-09-01,8013
8,M,2017-11-01,7967
7,M,2009-09-01,6633
5,W,2018-08-01,15244
2,M,2015-06-01,8922
8,M,2011-03-01,7460
6,M,2012-01-01,17928
15,M,2018-04-01,7871
8,W,2020-12-01,9221
10,W,2006-05-01,3616
17,W,2009-08-01,3666
11,M,2019-10-01,5291
6,M,2021-06-01,19155
8,M,2011-11-01,7432
9,W,2018-10-01,7134
1,M,2011-03-01,2133
17,M,2011-07-01,4077
4,W,2021-02-01,17400
4,M,2018-11-01,17998
6,M,2013-09-01,17977
8,W,2016-06-01,8606
16,M,2007-11-01,6953
16,M,2019-07-01,9242
17,M,2006-09-01,4057
8,M,2008-10-01,7365
5,M,2010-03-01,14798
3,W,2008-09-01,14983
2,W,2015-06-01,9473
15,W,2014-12-01,8494
3,M,2020-02-01,14235
5,W,2016-10-01,14614
4,W,2006-01-01,14993
3,W,2009-11-01,15303
1,M,2015-04-01,2363
16,W,2020-02-01,9738
5,M,2012-07-01,15343
1,M,2020-09-01,2258
5,M,2008-05-01,14789
3,W,2017-08-01,15906
2,M,2018-02-01,9270
1,M,2014-01-01,2322
16,M,2010-09-01,7180
14,M,2016-12-01,10890
9,M,2010-06-01,6242
12,W,2016-10-01,10784
14,M,2010-07-01,9701
9,W,2016-11-01,6973
9,M,2017-10-01,6359
4,M,2017-11-01,17890
7,W,2022-01-01,8615
5,M,2014-01-01,15628
2,M,2014-04-01,8779
11,M,2020-11-01,5309
9,M,2008-09-01,6257
5,M,2015-02-01,16133
2,W,2017-05-01,9635
12,W,2017-05-01,10859
16,W,2012-04-01,7763
10,W,2011-10-01,3578
11,M,2010-02-01,4910
11,M,2008-10-01,4814
8,W,2013-08-01,8331
7,M,2007-11-01,6617
11,W,2013-09-01,5520
15,M,2007-04-01,6893
3,W,2016-06-01,15981
1,W,2020-09-01,2029
10,M,2012-01-01,2963
1,M,2013-11-01,2308
11,M,2013-11-01,5066
8,W,2014-12-01,8384
15,M,2006-02-01,6887
16,M,2015-04-01,7780
11,W,2006-05-01,5075
1,W,2013-12-01,2239
11,M,2016-01-01,5171
16,W,2016-01-01,8650
9,W,2013-02-01,6916
6,W,2012-11-01,17950
12,M,2007-09-01,9135
12,W,2019-08-01,10780
14,M,2020-06-01,11537
3,W,2018-08-01,15967
1,M,2018-10-01,2408
1,M,2013-04-01,2293
13,M,2014-06-01,5614
15,W,2014-06-01,8415
10,W,2006-01-01,3631
11,W,2012-07-01,5523
3,M,2015-01-01,13475
14,W,2021-07-01,12029
5,W,2009-12-01,13947
1,W,2013-09-01,2087
2,W,2015-08-01,9380
7,M,2020-12-01,8378
6,W,2008-10-01,17405
14,W,2018-05-01,11732
17,W,2010-05-01,3718
9,M,2009-09-01,6265
10,M,2016-03-01,3074
14,W,2020-04-01,11892
15,M,2021-11-01,8471
1,M,2022-01-01,2278
15,W,2012-09-01,8236
8,W,2015-03-01,8402
13,W,2011-01-01,5694
10,M,2010-05-01,2898
10,M,2021-11-01,3198
8,W,2013-03-01,8315
11,W,2013-03-01,5538
12,W,2006-03-01,9860
12,M,2010-11-01,9310
11,M,2015-02-01,5135
17,M,2016-02-01,4722
16,M,2011-05-01,7288
12,W,2015-03-01,10642
9,W,2007-02-01,6682
15,W,2007-10-01,7908
15,M,2012-01-01,7069
12,W,2011-02-01,10062
16,W,2018-04-01,9102
8,M,2007-10-01,7399
14,W,2012-04-01,10762
10,M,2014-06-01,2983
2,W,2018-03-01,9741
9,W,2006-09-01,6640
5,W,2018-03-01,15236
14,W,2016-03-01,11406
14,W,2021-03-01,12066
9,W,2019-04-01,7150
2,M,2015-04-01,8887
17,W,2008-11-01,3694
4,W,2020-01-01,17963
10,M,2016-11-01,3114
10,M,2013-06-01,2926
7,M,2018-02-01,7750
11,M,2012-08-01,4970
2,W,2008-08-01,8998
2,W,2012-02-01,9218
6,W,2014-07-01,18188
13,M,2019-11-01,5955
8,W,2018-12-01,9032
4,W,2015-01-01,17002
11,M,2016-12-01,5272
5,M,2015-09-01,16342
9,W,2016-05-01,6938
14,M,2017-07-01,10905
8,M,2018-06-01,8094
2,W,2021-10-01,9528
11,W,2018-06-01,5804
11,M,2009-06-01,4835
3,W,2010-03-01,15126
2,W,2008-02-01,9036
10,M,2015-10-01,3084
2,W,2018-04-01,9746
13,W,2013-05-01,5837
2,W,2015-10-01,9514
5,M,2015-03-01,16213
10,M,2013-01-01,2947
10,W,2009-03-01,3570
12,M,2012-04-01,9492
7,M,2012-04-01,6829
17,W,2017-10-01,4611
9,M,2020-01-01,6433
15,W,2008-01-01,7952
13,M,2019-04-01,5951
12,M,2018-11-01,9874
6,W,2018-07-01,18560
13,W,2008-02-01,5656
9,W,2021-10-01,7356
2,M,2011-02-01,8592
10,W,2008-10-01,3591
8,M,2019-09-01,8352
1,W,2012-04-01,2085
4,M,2007-06-01,14656
2,M,2014-08-01,8737
7,M,2010-08-01,6678
13,W,2009-07-01,5657
9,W,2017-12-01,7095
16,M,2011-01-01,7218
6,M,2016-09-01,19195
11,M,2007-03-01,4661
4,W,2010-04-01,15856
9,M,2006-06-01,6322
12,W,2010-11-01,10046
12,M,2018-07-01,9837
9,W,2008-11-01,6734
9,M,2013-11-01,6251
3,W,2019-04-01,16231
16,W,2018-10-01,9418
3,M,2006-07-01,12722
7,W,2006-01-01,6766
3,W,2021-12-01,16246
17,M,2013-04-01,4161
12,M,2021-07-01,10122
16,W,2012-11-01,7919
7,M,2013-10-01,6947
1,M,2016-09-01,2330
3,W,2012-02-01,15077
13,M,2011-05-01,5393
5,M,2020-09-01,18058
17,M,2006-05-01,4082
14,M,2009-08-01,9664
7,W,2016-01-01,7923
9,W,2021-11-01,7354
8,W,2010-01-01,8029
10,W,2011-05-01,3610
16,M,2016-12-01,8360
8,M,2018-11-01,8271
15,W,2010-02-01,8052
16,M,2022-01-01,9971
12,M,2008-02-01,9209
15,M,2009-04-01,7032
6,W,2019-07-01,18475
17,M,2013-11-01,4214
6,M,2011-07-01,17519
17,W,2017-01-01,4529
9,M,2008-04-01,6285
14,M,2009-10-01,9720
6,M,2017-10-01,19736
12,W,2018-02-01,10829
10,W,2013-02-01,3609
7,M,2009-11-01,6667
2,M,2019-07-01,9120
4,M,2013-02-01,16325
13,W,2014-10-01,5881
5,M,2021-03-01,18081
3,W,2013-07-01,15102
3,W,2012-05-01,15056
9,W,2006-03-01,6621
1,W,2016-08-01,2138
5,M,2018-11-01,17983
3,M,2012-11-01,13114
14,M,2007-04-01,9632
3,M,2010-02-01,12942
15,M,2018-07-01,7882
5,W,2014-03-01,14059
8,W,2007-10-01,7996
11,M,2022-01-01,5272
7,M,2020-03-01,8237
17,W,2014-08-01,4016
3,M,2009-03-01,13005
14,W,2013-03-01,10844
8,M,2008-09-01,7360
5,W,2012-01-01,14051
9,M,2013-09-01,6218
1,M,2015-05-01,2376
10,M,2006-06-01,2949
3,M,2014-01-01,13289
11,M,2011-09-01,4923
1,M,2017-07-01,2374
8,W,2021-06-01,9299
5,W,2012-12-01,14121
10,W,2016-08-01,3686
8,W,2007-07-01,7949
17,W,2019-05-01,5027
5,M,2013-11-01,15560
7,W,2014-10-01,7682
12,M,2011-03-01,9340
10,M,2013-08-01,2948
17,M,2020-03-01,5442
16,M,2021-03-01,9673
16,W,2014-08-01,8198
2,M,2017-01-01,9269
6,O,2022-01-01,1
9,W,2007-07-01,6699
1,M,2015-09-01,2298
12,W,2006-05-01,9873
13,M,2012-05-01,5561
11,M,2021-12-01,5283
5,W,2012-06-01,13974
8,W,2016-08-01,8593
7,M,2021-05-01,8452
17,W,2018-07-01,4852
9,W,2010-12-01,6812
14,M,2007-01-01,9602
6,O,2021-08-01,1
3,W,2013-04-01,15197
12,M,2020-12-01,9987
10,W,2011-01-01,3626
4,M,2015-10-01,16853
16,M,2015-05-01,7812
13,W,2009-04-01,5651
11,M,2015-10-01,5165
3,M,2006-10-01,12600
14,W,2020-09-01,11935
17,M,2016-12-01,4893
2,M,2021-05-01,9111
8,W,2010-10-01,8213
17,W,2016-08-01,4511
15,W,2008-04-01,7968
